"etl_timestamp","zip_code","NEG_tests","POS_tests","deaths","hospitalized","partially_vaccinated","fully_vaccinated"
"2021-03-25 17:20:02",19100,7,,,,,
"2021-03-25 17:20:02",19101,429,88,,16,,
"2021-03-25 17:20:02",19102,9109,335,,9,1185,1145
"2021-03-25 17:20:02",19103,43698,1296,39,128,4844,5696
"2021-03-25 17:20:02",19104,150126,3529,107,401,8131,4135
"2021-03-25 17:20:02",19105,231,15,,,,
"2021-03-25 17:20:02",19106,16355,826,,29,2311,2446
"2021-03-25 17:20:02",19107,18636,982,18,129,3628,2466
"2021-03-25 17:20:02",19108,75,,,,,
"2021-03-25 17:20:02",19109,40,,,,,
"2021-03-25 17:20:02",19110,64,,,,,
"2021-03-25 17:20:02",19111,52780,6193,139,583,8093,4392
"2021-03-25 17:20:02",19112,,,,,,
"2021-03-25 17:20:02",19113,76,,,,,
"2021-03-25 17:20:02",19114,23470,2984,69,243,4862,2579
"2021-03-25 17:20:02",19115,32721,3876,192,352,4999,4267
"2021-03-25 17:20:02",19116,30295,3873,137,289,4730,2375
"2021-03-25 17:20:02",19118,10463,517,34,79,1577,1331
"2021-03-25 17:20:02",19119,30899,1741,130,314,4329,3100
"2021-03-25 17:20:02",19120,48257,5904,108,740,7315,2670
"2021-03-25 17:20:02",19121,32112,2638,50,341,5344,1849
"2021-03-25 17:20:02",19122,21945,2153,31,182,3945,1319
"2021-03-25 17:20:02",19123,23093,1346,60,181,3318,1981
"2021-03-25 17:20:02",19124,46904,6105,72,580,6500,2508
"2021-03-25 17:20:02",19125,29375,1730,28,146,5535,2254
"2021-03-25 17:20:02",19126,16721,1556,126,288,1958,1248
"2021-03-25 17:20:02",19127,8039,421,,9,901,512
"2021-03-25 17:20:02",19128,39943,2462,52,131,5670,3444
"2021-03-25 17:20:02",19129,13124,723,11,58,1573,1482
"2021-03-25 17:20:02",19130,39677,1771,31,163,5325,4185
"2021-03-25 17:20:02",19131,55386,3327,151,559,5286,3280
"2021-03-25 17:20:02",19132,27266,2303,65,444,3682,1578
"2021-03-25 17:20:02",19133,17998,2338,44,400,2537,927
"2021-03-25 17:20:02",19134,44525,4679,59,543,6447,2352
"2021-03-25 17:20:02",19135,22665,2887,37,251,3705,1630
"2021-03-25 17:20:02",19136,50986,4379,107,319,4528,2226
"2021-03-25 17:20:02",19137,5775,714,11,43,1206,540
"2021-03-25 17:20:02",19138,25864,2373,66,338,3765,1726
"2021-03-25 17:20:02",19139,46115,3277,100,529,5288,2452
"2021-03-25 17:20:02",19140,39890,4441,115,825,5061,2197
"2021-03-25 17:20:02",19141,24491,2351,73,402,3399,1490
"2021-03-25 17:20:02",19142,20984,2295,46,330,2653,991
"2021-03-25 17:20:02",19143,68548,4319,97,687,8548,4824
"2021-03-25 17:20:02",19144,42079,3089,151,516,5360,3008
"2021-03-25 17:20:02",19145,43413,4467,76,409,8476,3608
"2021-03-25 17:20:02",19146,52995,2490,48,218,6912,5787
"2021-03-25 17:20:02",19147,43366,2304,43,193,8020,5463
"2021-03-25 17:20:02",19148,46113,4919,116,487,10033,4003
"2021-03-25 17:20:02",19149,32491,4574,61,386,7899,2263
"2021-03-25 17:20:02",19150,22406,1889,53,245,3485,1866
"2021-03-25 17:20:02",19151,26526,2372,46,287,3647,1836
"2021-03-25 17:20:02",19152,37814,3814,158,535,5724,2526
"2021-03-25 17:20:02",19153,9419,969,21,137,1557,901
"2021-03-25 17:20:02",19154,34489,3468,63,224,5003,2610
"2021-03-25 17:20:02",19155,75,,,,,
"2021-03-25 17:20:02",19156,7,,,,,
"2021-03-25 17:20:02",19157,6,,,,,
"2021-03-25 17:20:02",19158,6,,,,,
"2021-03-25 17:20:02",19160,66,10,,,,
"2021-03-25 17:20:02",19161,29,,,,,
"2021-03-25 17:20:02",19162,8,,,,,
"2021-03-25 17:20:02",19170,12,,,,,
"2021-03-25 17:20:02",19171,23,,,,,
"2021-03-25 17:20:02",19172,14,,,,,
"2021-03-25 17:20:02",19176,30,,,,,
"2021-03-25 17:20:02",19178,10,,,,,
"2021-03-25 17:20:02",19179,8,,,,,
"2021-03-25 17:20:02",19181,15,,,,,
"2021-03-25 17:20:02",19182,17,,,,,
"2021-03-25 17:20:02",19183,14,,,,,
"2021-03-25 17:20:02",19184,9,,,,,
"2021-03-25 17:20:02",19188,9,,,,,
"2021-03-25 17:20:02",19190,18,,,,,
"2021-03-25 17:20:02",19191,30,,,,,
"2021-03-25 17:20:02",19192,14,,,,,
"2021-03-25 17:20:02",19193,15,,,,,
"2021-03-25 17:20:02",19194,24,,,,,
"2021-03-25 17:20:02",19195,8,,,,,
"2021-03-25 17:20:02",19196,12,,,,,
"2021-03-25 17:20:02",19197,12,,,,,
"2021-03-26 17:20:02",19100,7,,,,,
"2021-03-26 17:20:02",19101,432,88,,16,,
"2021-03-26 17:20:02",19102,9177,338,,9,1166,1193
"2021-03-26 17:20:02",19103,44141,1305,39,128,4820,5862
"2021-03-26 17:20:02",19104,151829,3559,108,406,8137,4386
"2021-03-26 17:20:02",19105,233,15,,,,
"2021-03-26 17:20:02",19106,16430,829,,30,2264,2547
"2021-03-26 17:20:02",19107,18843,985,18,129,3550,2603
"2021-03-26 17:20:02",19108,75,,,,,
"2021-03-26 17:20:02",19109,40,,,,,
"2021-03-26 17:20:02",19110,64,,,,,
"2021-03-26 17:20:02",19111,53003,6233,140,588,7983,4676
"2021-03-26 17:20:02",19112,,,,,,
"2021-03-26 17:20:02",19113,77,,,,,
"2021-03-26 17:20:02",19114,23593,2999,70,246,4739,2819
"2021-03-26 17:20:02",19115,32882,3888,192,353,4903,4499
"2021-03-26 17:20:02",19116,30505,3881,137,293,4619,2597
"2021-03-26 17:20:02",19118,10493,521,34,81,1559,1394
"2021-03-26 17:20:02",19119,31007,1748,130,315,4297,3250
"2021-03-26 17:20:02",19120,48468,5934,108,745,7211,2946
"2021-03-26 17:20:02",19121,32206,2652,50,342,5095,2187
"2021-03-26 17:20:02",19122,22051,2160,31,186,3850,1466
"2021-03-26 17:20:02",19123,23185,1350,60,182,3247,2110
"2021-03-26 17:20:02",19124,47122,6132,72,584,6381,2781
"2021-03-26 17:20:02",19125,29513,1742,28,147,5322,2556
"2021-03-26 17:20:02",19126,16768,1560,126,289,1950,1304
"2021-03-26 17:20:02",19127,8067,427,,9,905,533
"2021-03-26 17:20:02",19128,40082,2469,53,132,5643,3631
"2021-03-26 17:20:02",19129,13173,727,11,59,1726,1545
"2021-03-26 17:20:02",19130,40042,1779,31,163,5197,4435
"2021-03-26 17:20:02",19131,55636,3348,151,559,5262,3451
"2021-03-26 17:20:02",19132,27365,2312,65,444,3646,1702
"2021-03-26 17:20:02",19133,18073,2345,44,403,2521,1038
"2021-03-26 17:20:02",19134,44714,4710,59,545,6251,2715
"2021-03-26 17:20:02",19135,22773,2910,37,254,3580,1827
"2021-03-26 17:20:02",19136,51371,4403,107,323,4465,2378
"2021-03-26 17:20:02",19137,5801,717,11,46,1152,619
"2021-03-26 17:20:02",19138,25945,2378,66,344,3684,1886
"2021-03-26 17:20:02",19139,46281,3288,100,530,5144,2733
"2021-03-26 17:20:02",19140,40050,4454,116,825,5097,2375
"2021-03-26 17:20:02",19141,24572,2362,73,404,3374,1614
"2021-03-26 17:20:02",19142,21060,2308,46,330,2599,1103
"2021-03-26 17:20:02",19143,68798,4334,96,689,8531,5141
"2021-03-26 17:20:02",19144,42228,3111,151,522,5591,3155
"2021-03-26 17:20:02",19145,43566,4506,76,414,8462,4041
"2021-03-26 17:20:02",19146,53297,2504,48,219,6867,6055
"2021-03-26 17:20:02",19147,43568,2314,43,194,7913,5864
"2021-03-26 17:20:02",19148,46334,4942,116,493,10023,4543
"2021-03-26 17:20:02",19149,32618,4600,62,389,7765,2575
"2021-03-26 17:20:02",19150,22462,1896,53,248,3452,1974
"2021-03-26 17:20:02",19151,26601,2386,46,288,3544,2021
"2021-03-26 17:20:02",19152,37911,3826,158,535,5655,2707
"2021-03-26 17:20:02",19153,9466,970,21,137,1561,942
"2021-03-26 17:20:02",19154,34735,3490,63,225,4855,2905
"2021-03-26 17:20:02",19155,75,,,,,
"2021-03-26 17:20:02",19156,7,,,,,
"2021-03-26 17:20:02",19157,6,,,,,
"2021-03-26 17:20:02",19158,6,,,,,
"2021-03-26 17:20:02",19160,66,10,,,,
"2021-03-26 17:20:02",19161,29,,,,,
"2021-03-26 17:20:02",19162,8,,,,,
"2021-03-26 17:20:02",19170,12,,,,,
"2021-03-26 17:20:02",19171,23,,,,,
"2021-03-26 17:20:02",19172,14,,,,,
"2021-03-26 17:20:02",19176,31,,,,,
"2021-03-26 17:20:02",19178,10,,,,,
"2021-03-26 17:20:02",19179,8,,,,,
"2021-03-26 17:20:02",19181,15,,,,,
"2021-03-26 17:20:02",19182,17,,,,,
"2021-03-26 17:20:02",19183,14,,,,,
"2021-03-26 17:20:02",19184,9,,,,,
"2021-03-26 17:20:02",19188,9,,,,,
"2021-03-26 17:20:02",19190,18,,,,,
"2021-03-26 17:20:02",19191,30,,,,,
"2021-03-26 17:20:02",19192,14,,,,,
"2021-03-26 17:20:02",19193,15,,,,,
"2021-03-26 17:20:02",19194,24,,,,,
"2021-03-26 17:20:02",19195,8,,,,,
"2021-03-26 17:20:02",19196,12,,,,,
"2021-03-26 17:20:02",19197,12,,,,,
"2021-03-27 17:20:02",19100,7,,,,,
"2021-03-27 17:20:02",19101,432,88,,16,,
"2021-03-27 17:20:02",19102,9177,338,,9,1166,1193
"2021-03-27 17:20:02",19103,44141,1305,39,128,4820,5862
"2021-03-27 17:20:02",19104,151829,3559,108,406,8137,4386
"2021-03-27 17:20:02",19105,233,15,,,,
"2021-03-27 17:20:02",19106,16430,829,,30,2264,2547
"2021-03-27 17:20:02",19107,18843,985,18,129,3550,2603
"2021-03-27 17:20:02",19108,75,,,,,
"2021-03-27 17:20:02",19109,40,,,,,
"2021-03-27 17:20:02",19110,64,,,,,
"2021-03-27 17:20:02",19111,53003,6233,140,588,7983,4676
"2021-03-27 17:20:02",19112,,,,,,
"2021-03-27 17:20:02",19113,77,,,,,
"2021-03-27 17:20:02",19114,23593,2999,70,246,4739,2819
"2021-03-27 17:20:02",19115,32882,3888,192,353,4903,4499
"2021-03-27 17:20:02",19116,30505,3881,137,293,4619,2597
"2021-03-27 17:20:02",19118,10493,521,34,81,1559,1394
"2021-03-27 17:20:02",19119,31007,1748,130,315,4297,3250
"2021-03-27 17:20:02",19120,48468,5934,108,745,7211,2946
"2021-03-27 17:20:02",19121,32206,2652,50,342,5095,2187
"2021-03-27 17:20:02",19122,22051,2160,31,186,3850,1466
"2021-03-27 17:20:02",19123,23185,1350,60,182,3247,2110
"2021-03-27 17:20:02",19124,47122,6132,72,584,6381,2781
"2021-03-27 17:20:02",19125,29513,1742,28,147,5322,2556
"2021-03-27 17:20:02",19126,16768,1560,126,289,1950,1304
"2021-03-27 17:20:02",19127,8067,427,,9,905,533
"2021-03-27 17:20:02",19128,40082,2469,53,132,5643,3631
"2021-03-27 17:20:02",19129,13173,727,11,59,1726,1545
"2021-03-27 17:20:02",19130,40042,1779,31,163,5197,4435
"2021-03-27 17:20:02",19131,55636,3348,151,559,5262,3451
"2021-03-27 17:20:02",19132,27365,2312,65,444,3646,1702
"2021-03-27 17:20:02",19133,18073,2345,44,403,2521,1038
"2021-03-27 17:20:02",19134,44714,4710,59,545,6251,2715
"2021-03-27 17:20:02",19135,22773,2910,37,254,3580,1827
"2021-03-27 17:20:02",19136,51371,4403,107,323,4465,2378
"2021-03-27 17:20:02",19137,5801,717,11,46,1152,619
"2021-03-27 17:20:02",19138,25945,2378,66,344,3684,1886
"2021-03-27 17:20:02",19139,46281,3288,100,530,5144,2733
"2021-03-27 17:20:02",19140,40050,4454,116,825,5097,2375
"2021-03-27 17:20:02",19141,24572,2362,73,404,3374,1614
"2021-03-27 17:20:02",19142,21060,2308,46,330,2599,1103
"2021-03-27 17:20:02",19143,68798,4334,96,689,8531,5141
"2021-03-27 17:20:02",19144,42228,3111,151,522,5591,3155
"2021-03-27 17:20:02",19145,43566,4506,76,414,8462,4041
"2021-03-27 17:20:02",19146,53297,2504,48,219,6867,6055
"2021-03-27 17:20:02",19147,43568,2314,43,194,7913,5864
"2021-03-27 17:20:02",19148,46334,4942,116,493,10023,4543
"2021-03-27 17:20:02",19149,32618,4600,62,389,7765,2575
"2021-03-27 17:20:02",19150,22462,1896,53,248,3452,1974
"2021-03-27 17:20:02",19151,26601,2386,46,288,3544,2021
"2021-03-27 17:20:02",19152,37911,3826,158,535,5655,2707
"2021-03-27 17:20:02",19153,9466,970,21,137,1561,942
"2021-03-27 17:20:02",19154,34735,3490,63,225,4855,2905
"2021-03-27 17:20:02",19155,75,,,,,
"2021-03-27 17:20:02",19156,7,,,,,
"2021-03-27 17:20:02",19157,6,,,,,
"2021-03-27 17:20:02",19158,6,,,,,
"2021-03-27 17:20:02",19160,66,10,,,,
"2021-03-27 17:20:02",19161,29,,,,,
"2021-03-27 17:20:02",19162,8,,,,,
"2021-03-27 17:20:02",19170,12,,,,,
"2021-03-27 17:20:02",19171,23,,,,,
"2021-03-27 17:20:02",19172,14,,,,,
"2021-03-27 17:20:02",19176,31,,,,,
"2021-03-27 17:20:02",19178,10,,,,,
"2021-03-27 17:20:02",19179,8,,,,,
"2021-03-27 17:20:02",19181,15,,,,,
"2021-03-27 17:20:02",19182,17,,,,,
"2021-03-27 17:20:02",19183,14,,,,,
"2021-03-27 17:20:02",19184,9,,,,,
"2021-03-27 17:20:02",19188,9,,,,,
"2021-03-27 17:20:02",19190,18,,,,,
"2021-03-27 17:20:02",19191,30,,,,,
"2021-03-27 17:20:02",19192,14,,,,,
"2021-03-27 17:20:02",19193,15,,,,,
"2021-03-27 17:20:02",19194,24,,,,,
"2021-03-27 17:20:02",19195,8,,,,,
"2021-03-27 17:20:02",19196,12,,,,,
"2021-03-27 17:20:02",19197,12,,,,,
"2021-03-29 17:20:02",19100,7,,,,,
"2021-03-29 17:20:02",19101,433,88,,17,,
"2021-03-29 17:20:02",19102,9285,342,,9,1166,1193
"2021-03-29 17:20:02",19103,45012,1317,39,128,4820,5862
"2021-03-29 17:20:02",19104,157208,3597,108,406,8137,4386
"2021-03-29 17:20:02",19105,238,15,,,,
"2021-03-29 17:20:02",19106,16575,833,,30,2264,2547
"2021-03-29 17:20:02",19107,19248,996,18,129,3550,2603
"2021-03-29 17:20:02",19108,76,,,,,
"2021-03-29 17:20:02",19109,40,,,,,
"2021-03-29 17:20:02",19110,64,,,,,
"2021-03-29 17:20:02",19111,53462,6292,142,588,7983,4676
"2021-03-29 17:20:02",19112,,,,,,
"2021-03-29 17:20:02",19113,77,,,,,
"2021-03-29 17:20:02",19114,23897,3041,71,249,4739,2819
"2021-03-29 17:20:02",19115,33177,3927,192,354,4903,4499
"2021-03-29 17:20:02",19116,30768,3908,137,293,4619,2597
"2021-03-29 17:20:02",19118,10573,524,34,81,1559,1394
"2021-03-29 17:20:02",19119,31311,1765,130,316,4297,3250
"2021-03-29 17:20:02",19120,48902,6004,108,746,7211,2946
"2021-03-29 17:20:02",19121,32535,2682,50,342,5095,2187
"2021-03-29 17:20:02",19122,22231,2178,32,185,3850,1466
"2021-03-29 17:20:02",19123,23387,1363,60,183,3247,2110
"2021-03-29 17:20:02",19124,47609,6196,72,587,6381,2781
"2021-03-29 17:20:02",19125,29761,1761,28,147,5322,2556
"2021-03-29 17:20:02",19126,16903,1571,126,289,1950,1304
"2021-03-29 17:20:02",19127,8139,431,,9,905,533
"2021-03-29 17:20:02",19128,40433,2488,53,132,5643,3631
"2021-03-29 17:20:02",19129,13300,738,11,59,1726,1545
"2021-03-29 17:20:02",19130,40386,1796,31,163,5197,4435
"2021-03-29 17:20:02",19131,56027,3371,151,561,5262,3451
"2021-03-29 17:20:02",19132,27675,2338,66,445,3646,1702
"2021-03-29 17:20:02",19133,18257,2369,44,404,2521,1038
"2021-03-29 17:20:02",19134,45161,4765,61,546,6251,2715
"2021-03-29 17:20:02",19135,22997,2947,37,255,3580,1827
"2021-03-29 17:20:02",19136,52164,4453,107,323,4465,2378
"2021-03-29 17:20:02",19137,5858,727,11,46,1152,619
"2021-03-29 17:20:02",19138,26199,2400,66,344,3684,1886
"2021-03-29 17:20:02",19139,46760,3315,100,531,5144,2733
"2021-03-29 17:20:02",19140,40383,4501,116,821,5097,2375
"2021-03-29 17:20:02",19141,24803,2390,73,404,3374,1614
"2021-03-29 17:20:02",19142,21287,2326,46,330,2599,1103
"2021-03-29 17:20:02",19143,69614,4376,95,689,8531,5141
"2021-03-29 17:20:02",19144,42598,3146,151,523,5591,3155
"2021-03-29 17:20:02",19145,44026,4546,76,414,8462,4041
"2021-03-29 17:20:02",19146,53931,2527,48,220,6867,6055
"2021-03-29 17:20:02",19147,43989,2345,43,194,7913,5864
"2021-03-29 17:20:02",19148,46880,5004,117,493,10023,4543
"2021-03-29 17:20:02",19149,32966,4638,62,389,7765,2575
"2021-03-29 17:20:02",19150,22672,1912,53,248,3452,1974
"2021-03-29 17:20:02",19151,26861,2403,46,288,3544,2021
"2021-03-29 17:20:02",19152,38148,3864,158,536,5655,2707
"2021-03-29 17:20:02",19153,9582,977,21,138,1561,942
"2021-03-29 17:20:02",19154,35119,3547,63,227,4855,2905
"2021-03-29 17:20:02",19155,75,,,,,
"2021-03-29 17:20:02",19156,7,,,,,
"2021-03-29 17:20:02",19157,6,,,,,
"2021-03-29 17:20:02",19158,6,,,,,
"2021-03-29 17:20:02",19160,67,10,,,,
"2021-03-29 17:20:02",19161,29,,,,,
"2021-03-29 17:20:02",19162,8,,,,,
"2021-03-29 17:20:02",19170,12,,,,,
"2021-03-29 17:20:02",19171,23,,,,,
"2021-03-29 17:20:02",19172,14,,,,,
"2021-03-29 17:20:02",19176,33,,,,,
"2021-03-29 17:20:02",19178,10,,,,,
"2021-03-29 17:20:02",19179,8,,,,,
"2021-03-29 17:20:02",19181,15,,,,,
"2021-03-29 17:20:02",19182,17,,,,,
"2021-03-29 17:20:02",19183,14,,,,,
"2021-03-29 17:20:02",19184,9,,,,,
"2021-03-29 17:20:02",19188,9,,,,,
"2021-03-29 17:20:02",19190,18,,,,,
"2021-03-29 17:20:02",19191,30,,,,,
"2021-03-29 17:20:02",19192,14,,,,,
"2021-03-29 17:20:02",19193,15,,,,,
"2021-03-29 17:20:02",19194,24,,,,,
"2021-03-29 17:20:02",19195,8,,,,,
"2021-03-29 17:20:02",19196,12,,,,,
"2021-03-29 17:20:02",19197,12,,,,,
"2021-03-30 17:20:02",19100,7,,,,,
"2021-03-30 17:20:02",19101,433,88,,17,,
"2021-03-30 17:20:02",19102,9318,346,,9,1003,1399
"2021-03-30 17:20:02",19103,45177,1323,39,129,4195,6582
"2021-03-30 17:20:02",19104,157853,3606,109,406,7477,5531
"2021-03-30 17:20:02",19105,239,15,,,,
"2021-03-30 17:20:02",19106,16672,836,,30,1923,3031
"2021-03-30 17:20:02",19107,18955,999,18,129,2896,3519
"2021-03-30 17:20:02",19108,76,,,,,
"2021-03-30 17:20:02",19109,40,,,,,
"2021-03-30 17:20:02",19110,64,,,,,
"2021-03-30 17:20:02",19111,53589,6323,142,590,7525,5833
"2021-03-30 17:20:02",19112,,,,,,
"2021-03-30 17:20:02",19113,78,,,,,
"2021-03-30 17:20:02",19114,23960,3063,71,250,4596,3606
"2021-03-30 17:20:02",19115,33238,3952,192,355,4708,5188
"2021-03-30 17:20:02",19116,30856,3928,137,293,4308,3397
"2021-03-30 17:20:02",19118,10592,525,34,81,1420,1648
"2021-03-30 17:20:02",19119,31402,1776,130,316,3724,4194
"2021-03-30 17:20:02",19120,49011,6022,108,746,6636,4080
"2021-03-30 17:20:02",19121,32626,2698,50,342,4358,3271
"2021-03-30 17:20:02",19122,22293,2189,32,185,3485,2030
"2021-03-30 17:20:02",19123,23444,1367,60,183,2814,2816
"2021-03-30 17:20:02",19124,47748,6239,72,588,5763,3884
"2021-03-30 17:20:02",19125,29875,1765,29,147,4745,3440
"2021-03-30 17:20:02",19126,16940,1576,127,289,1778,1660
"2021-03-30 17:20:02",19127,8162,439,,9,807,695
"2021-03-30 17:20:02",19128,40524,2505,53,132,5003,4672
"2021-03-30 17:20:02",19129,13344,744,11,59,1598,1814
"2021-03-30 17:20:02",19130,40554,1805,31,163,4512,5434
"2021-03-30 17:20:02",19131,56059,3388,151,562,4914,4211
"2021-03-30 17:20:02",19132,27723,2351,66,445,3274,2434
"2021-03-30 17:20:02",19133,18312,2379,44,404,2319,1454
"2021-03-30 17:20:02",19134,45369,4802,61,546,5593,3797
"2021-03-30 17:20:02",19135,23063,2966,37,257,3204,2469
"2021-03-30 17:20:02",19136,52153,4481,107,325,4395,2906
"2021-03-30 17:20:02",19137,5884,731,11,46,981,860
"2021-03-30 17:20:02",19138,26261,2419,66,344,3168,2736
"2021-03-30 17:20:02",19139,46837,3335,100,531,4595,3681
"2021-03-30 17:20:02",19140,40515,4529,117,822,4754,3225
"2021-03-30 17:20:02",19141,24862,2394,73,404,3030,2279
"2021-03-30 17:20:02",19142,21339,2336,46,330,2413,1505
"2021-03-30 17:20:02",19143,69798,4402,95,689,7890,6448
"2021-03-30 17:20:02",19144,42737,3160,151,523,5035,4131
"2021-03-30 17:20:02",19145,44161,4580,77,415,7710,5406
"2021-03-30 17:20:02",19146,54138,2535,48,220,6016,7518
"2021-03-30 17:20:02",19147,44166,2359,43,193,7066,7430
"2021-03-30 17:20:02",19148,47048,5038,118,494,9081,6260
"2021-03-30 17:20:02",19149,33059,4657,62,389,7199,3632
"2021-03-30 17:20:02",19150,22716,1917,53,248,3038,2667
"2021-03-30 17:20:02",19151,26931,2413,46,288,3115,2744
"2021-03-30 17:20:02",19152,38198,3886,160,537,5320,3489
"2021-03-30 17:20:02",19153,9598,989,21,138,1482,1199
"2021-03-30 17:20:02",19154,35164,3577,63,227,4761,3715
"2021-03-30 17:20:02",19155,75,,,,,
"2021-03-30 17:20:02",19156,7,,,,,
"2021-03-30 17:20:02",19157,6,,,,,
"2021-03-30 17:20:02",19158,6,,,,,
"2021-03-30 17:20:02",19160,67,10,,,,
"2021-03-30 17:20:02",19161,29,,,,,
"2021-03-30 17:20:02",19162,8,,,,,
"2021-03-30 17:20:02",19170,12,,,,,
"2021-03-30 17:20:02",19171,23,,,,,
"2021-03-30 17:20:02",19172,14,,,,,
"2021-03-30 17:20:02",19176,32,,,,,
"2021-03-30 17:20:02",19178,10,,,,,
"2021-03-30 17:20:02",19179,8,,,,,
"2021-03-30 17:20:02",19181,16,,,,,
"2021-03-30 17:20:02",19182,17,,,,,
"2021-03-30 17:20:02",19183,14,,,,,
"2021-03-30 17:20:02",19184,9,,,,,
"2021-03-30 17:20:02",19188,9,,,,,
"2021-03-30 17:20:02",19190,18,,,,,
"2021-03-30 17:20:02",19191,31,,,,,
"2021-03-30 17:20:02",19192,14,,,,,
"2021-03-30 17:20:02",19193,15,,,,,
"2021-03-30 17:20:02",19194,24,,,,,
"2021-03-30 17:20:02",19195,8,,,,,
"2021-03-30 17:20:02",19196,12,,,,,
"2021-03-30 17:20:02",19197,12,,,,,
"2021-03-31 17:20:02",19100,7,,,,,
"2021-03-31 17:20:02",19101,434,88,,17,,
"2021-03-31 17:20:02",19102,9356,347,,9,975,1464
"2021-03-31 17:20:02",19103,45386,1328,39,129,4092,7054
"2021-03-31 17:20:02",19104,159094,3615,109,407,7364,5832
"2021-03-31 17:20:02",19105,239,15,,,,
"2021-03-31 17:20:02",19106,16687,840,,29,1869,3132
"2021-03-31 17:20:02",19107,19381,1003,18,129,2808,3694
"2021-03-31 17:20:02",19108,76,,,,,
"2021-03-31 17:20:02",19109,40,,,,,
"2021-03-31 17:20:02",19110,64,,,,,
"2021-03-31 17:20:02",19111,53712,6353,142,589,7322,6268
"2021-03-31 17:20:02",19112,,,,,,
"2021-03-31 17:20:02",19113,78,,,,,
"2021-03-31 17:20:02",19114,24033,3079,71,251,4477,3810
"2021-03-31 17:20:02",19115,33311,3972,193,355,4664,5389
"2021-03-31 17:20:02",19116,30925,3935,136,293,4224,3593
"2021-03-31 17:20:02",19118,10623,526,34,81,1362,1747
"2021-03-31 17:20:02",19119,31490,1784,131,317,3616,4513
"2021-03-31 17:20:02",19120,49136,6052,107,749,6497,4451
"2021-03-31 17:20:02",19121,32716,2708,50,343,4230,3540
"2021-03-31 17:20:02",19122,22362,2195,32,185,3369,2240
"2021-03-31 17:20:02",19123,23497,1368,60,184,2678,3086
"2021-03-31 17:20:02",19124,47976,6278,72,588,5586,4233
"2021-03-31 17:20:02",19125,29993,1773,29,146,4566,3743
"2021-03-31 17:20:02",19126,16991,1580,127,288,1758,1875
"2021-03-31 17:20:02",19127,8177,440,,9,799,733
"2021-03-31 17:20:02",19128,40630,2518,53,131,4835,4967
"2021-03-31 17:20:02",19129,13379,746,11,59,1565,1885
"2021-03-31 17:20:02",19130,40736,1810,31,163,4340,5709
"2021-03-31 17:20:02",19131,56216,3410,151,562,4815,4515
"2021-03-31 17:20:02",19132,27815,2357,66,445,3138,2717
"2021-03-31 17:20:02",19133,18381,2388,44,404,2281,1584
"2021-03-31 17:20:02",19134,45576,4836,62,548,5512,4071
"2021-03-31 17:20:02",19135,23141,2979,37,259,3107,2644
"2021-03-31 17:20:02",19136,52432,4514,108,327,4275,3117
"2021-03-31 17:20:02",19137,5905,737,11,47,928,925
"2021-03-31 17:20:02",19138,26342,2426,66,345,3083,3142
"2021-03-31 17:20:02",19139,46992,3349,101,531,4504,3923
"2021-03-31 17:20:02",19140,40662,4553,118,821,4717,3482
"2021-03-31 17:20:02",19141,24951,2409,73,404,2951,2579
"2021-03-31 17:20:02",19142,21420,2340,46,330,2399,1614
"2021-03-31 17:20:02",19143,70010,4427,96,688,7687,6984
"2021-03-31 17:20:02",19144,42850,3174,152,525,4966,4542
"2021-03-31 17:20:02",19145,44311,4605,78,416,7453,5840
"2021-03-31 17:20:02",19146,54315,2550,48,219,5795,7974
"2021-03-31 17:20:02",19147,44283,2366,43,192,6785,7910
"2021-03-31 17:20:02",19148,47235,5066,119,494,8744,6801
"2021-03-31 17:20:02",19149,33158,4676,62,390,7059,3969
"2021-03-31 17:20:02",19150,22772,1923,53,248,2904,3171
"2021-03-31 17:20:02",19151,27014,2424,46,288,3024,2971
"2021-03-31 17:20:02",19152,38262,3925,163,551,5182,3740
"2021-03-31 17:20:02",19153,9622,990,21,138,1444,1269
"2021-03-31 17:20:02",19154,35439,3591,63,230,4600,3958
"2021-03-31 17:20:02",19155,74,,,,,
"2021-03-31 17:20:02",19156,6,,,,,
"2021-03-31 17:20:02",19157,6,,,,,
"2021-03-31 17:20:02",19158,6,,,,,
"2021-03-31 17:20:02",19160,67,10,,,,
"2021-03-31 17:20:02",19161,30,,,,,
"2021-03-31 17:20:02",19162,8,,,,,
"2021-03-31 17:20:02",19170,12,,,,,
"2021-03-31 17:20:02",19171,23,,,,,
"2021-03-31 17:20:02",19172,14,,,,,
"2021-03-31 17:20:02",19176,32,,,,,
"2021-03-31 17:20:02",19178,10,,,,,
"2021-03-31 17:20:02",19179,8,,,,,
"2021-03-31 17:20:02",19181,16,,,,,
"2021-03-31 17:20:02",19182,17,,,,,
"2021-03-31 17:20:02",19183,14,,,,,
"2021-03-31 17:20:02",19184,9,,,,,
"2021-03-31 17:20:02",19188,9,,,,,
"2021-03-31 17:20:02",19190,18,,,,,
"2021-03-31 17:20:02",19191,31,,,,,
"2021-03-31 17:20:02",19192,14,,,,,
"2021-03-31 17:20:02",19193,15,,,,,
"2021-03-31 17:20:02",19194,25,,,,,
"2021-03-31 17:20:02",19195,8,,,,,
"2021-03-31 17:20:02",19196,12,,,,,
"2021-03-31 17:20:02",19197,12,,,,,
